id_comercio,nombre_dueno,celular,tamano_negocio,tipo_negocio,provincia,edad_propietario,genero,antiguedad_meses,transacciones_promedio,ticket_promedio_usd,movimientos_pichincha_mes,movimientos_comerciales_mes,movimientos_personales_mes,tickets_soporte,ticket_no_resuelto,tasa_disputas,saldo_cuenta_usd,dias_sin_transar,prob_churn,nivel_riesgo
3d4ee640-7243-43ad-a601-3fe201535b72,Diego Castro,0925533443,Microempresa,Alimentación y Gastronomía,Tungurahua,25,Masculino,10,110,1.5,9,76,26,0,0,0.0,58.57,6,0.1753,Bajo
6211f816-9336-4b46-a550-00c47b63bbae,Diego Castro,0998917927,Microempresa,Alimentación y Gastronomía,Pichincha,28,Femenino,28,146,1.5,10,118,18,0,0,0.0,15.15,0,0.0548,Bajo
19dca2b2-9d95-4d3f-92e1-e6c2e95cb0f6,Ana Torres,0944723940,Microempresa,Alimentación y Gastronomía,Manabí,34,Masculino,14,168,1.89,10,121,37,0,0,0.0,2.13,6,0.2291,Bajo
21c4b30a-22e5-4756-a472-e819da5bfb7d,Carmen Ríos,0987405062,Microempresa,Servicios Personales e Independientes,Pichincha,39,Masculino,22,18,10.67,2,17,0,0,0,0.0,18.91,0,0.0701,Bajo
d3133f64-c8ea-41bb-879f-821a520875ae,Juan Gómez,0998481268,Microempresa,Moda y Estilo de Vida,Cotopaxi,29,Femenino,13,14,12.77,2,9,3,1,0,0.0,2.83,7,0.7096,Alto
8318dd62-0f58-4482-97a8-4016e6ef44e9,Ana Torres,0999285320,Microempresa,Servicios Personales e Independientes,Pichincha,29,Masculino,2,11,14.33,1,9,1,3,0,0.0,28.94,4,0.5572,Medio
79ea9f01-97de-4414-b792-f236811005cc,Ana Torres,0981719648,Microempresa,Moda y Estilo de Vida,Imbabura,36,Femenino,25,10,37.75,1,8,1,2,0,0.0,190.42,0,0.121,Bajo
b900d450-ccda-48f2-9136-79e1049b3676,Juan Gómez,0969870917,Microempresa,Alimentación y Gastronomía,Azuay,38,Masculino,28,146,10.14,19,113,15,1,0,0.0,57.09,3,0.1863,Bajo
720b1bb1-4fc0-4f05-999f-2a12daf0c908,María Pérez,0999953551,Microempresa,Moda y Estilo de Vida,Pichincha,21,Masculino,36,14,17.55,2,9,4,0,0,0.0,0.77,7,0.677,Alto
93a13547-80c8-4d16-a378-5e9d2a9efa19,Pedro Ruiz,0901234933,Pequeña Empresa,Moda y Estilo de Vida,Pichincha,28,Masculino,8,6,71.76,0,4,2,0,0,0.0,9.19,2,0.286,Bajo
612110fd-ee99-46ff-b3c6-6e82aba99a7a,Diego Castro,0997043674,Microempresa,Alimentación y Gastronomía,Pichincha,31,Femenino,33,128,12.7,20,77,32,1,0,0.0,13.41,5,0.176,Bajo
0b7b7613-2c86-42f8-a324-1c35186062df,Andrés Díaz,0902391162,Microempresa,Alimentación y Gastronomía,Manabí,26,Femenino,7,35,2.96,4,22,9,0,0,0.0,27.31,4,0.3005,Bajo
1731a1f4-3d9b-47f9-b57e-6e0ba66a4b2d,Andrés Díaz,0986923964,Gran Empresa,Alimentación y Gastronomía,Pichincha,19,Masculino,12,227,7.64,35,133,58,0,0,0.0,14.09,1,0.0309,Bajo
b09dfa72-4af8-4eaf-afda-061670b6adf6,María Pérez,0911157238,Microempresa,Servicios Personales e Independientes,Pichincha,32,Femenino,24,19,12.87,4,16,0,1,0,0.0,16.26,3,0.237,Bajo
be983419-7bc7-4f88-8d16-75829427d178,Carmen Ríos,0911638473,Microempresa,Servicios Personales e Independientes,Loja,25,Masculino,21,19,8.46,3,16,0,1,0,0.0,49.97,2,0.0956,Bajo
8c01ac22-0ed0-47d4-bc6a-6c5015655c5a,Sofía Vega,0985969952,Microempresa,Comercio Minorista,Pastaza,35,Masculino,1,50,1.5,4,38,8,0,0,0.0,12.14,1,0.1079,Bajo
45bcfd10-1228-4aaa-b293-f3148e1de100,Ana Torres,0972326774,Microempresa,Alimentación y Gastronomía,Pichincha,27,Femenino,5,64,4.25,9,39,16,0,0,0.0,0.85,1,0.0579,Bajo
81443fd2-9966-4e70-a41b-189f75f9068c,Diego Castro,0956519803,Pequeña Empresa,Servicios Personales e Independientes,Guayas,28,Masculino,7,29,60.03,4,27,0,0,0,0.0014,34.91,1,0.2652,Bajo
e447e765-4cab-4930-86a4-aed52c85da15,Carmen Ríos,0978807680,Microempresa,Alimentación y Gastronomía,Esmeraldas,36,Femenino,21,83,8.44,15,52,16,1,0,0.0,159.13,2,0.0759,Bajo
b45e0bf4-d92b-413a-a0d7-6d243275a6b4,Carmen Ríos,0931796703,Microempresa,Alimentación y Gastronomía,El Oro,31,Femenino,9,370,1.5,46,227,97,0,0,0.0,29.33,3,0.1491,Bajo
9eea99ec-1aca-405f-830d-4293a51481dc,Ana Torres,0931386223,Microempresa,Alimentación y Gastronomía,Pichincha,23,Femenino,13,206,6.34,12,148,46,1,0,0.0,40.07,0,0.1901,Bajo
79876a24-6cd5-40a0-856d-bc6fcd665b75,Lucía Mora,0956519970,Microempresa,Comercio Minorista,Guayas,21,Masculino,19,50,6.58,4,42,4,1,0,0.0,43.47,0,0.0777,Bajo
516fc867-02cb-4c99-92d3-f23766ef4354,Diego Castro,0936862058,Pequeña Empresa,Alimentación y Gastronomía,Pichincha,29,Femenino,27,57,8.17,6,35,16,2,0,0.0,241.66,1,0.0861,Bajo
5eb84148-5b11-4ae4-9dcf-e0001eace108,Ana Torres,0953451374,Microempresa,Alimentación y Gastronomía,Tungurahua,25,Masculino,14,98,1.5,9,69,20,0,0,0.0,0.35,1,0.0357,Bajo
31dcfc7f-9ff5-452c-9851-6e0dcf293c88,Juan Gómez,0975962019,Mediana Empresa A,Servicios Personales e Independientes,Azuay,23,Masculino,21,5,10.74,1,4,0,1,0,0.0,70.01,0,0.1812,Bajo
c5f7d903-4842-42fd-b3d8-86636950a67e,Sofía Vega,0980858470,Microempresa,Moda y Estilo de Vida,Pichincha,31,Masculino,9,19,46.41,3,15,1,0,0,0.0,33.56,2,0.0639,Bajo
8b0d4099-03fd-4b08-8766-625c960b4eab,Juan Gómez,0907224650,Microempresa,Servicios Personales e Independientes,Pichincha,19,Femenino,20,14,37.23,2,13,0,1,0,0.0,22.89,0,0.0476,Bajo
b7fd2727-587c-4f77-8d01-e6618b8a4656,Carmen Ríos,0934979996,Microempresa,Servicios Personales e Independientes,Los Ríos,28,Masculino,6,26,21.85,3,19,4,0,0,0.0,27.44,1,0.1656,Bajo
744eed4a-ec28-4ff0-b2db-2f1d8059a25a,Lucía Mora,0903917823,Microempresa,Comercio Minorista,Manabí,43,Masculino,21,66,11.86,12,39,15,0,0,0.0,6.66,3,0.271,Bajo
745427c7-0102-445e-b8ca-2f28c49d69d4,María Pérez,0927517817,Microempresa,Servicios Personales e Independientes,Napo,26,Masculino,12,27,63.58,3,20,4,1,0,0.0,2.95,7,0.7029,Alto
61459c10-8284-4fb8-8ce2-a7c7aff4d3de,Andrés Díaz,0999208263,Microempresa,Servicios Personales e Independientes,El Oro,27,Masculino,10,96,43.01,7,80,9,0,0,0.0,9.68,3,0.2533,Bajo
f429cb7c-6889-4a29-8f65-87c0a6cc88f3,María Pérez,0934220445,Microempresa,Alimentación y Gastronomía,El Oro,26,Masculino,31,46,4.65,6,34,6,1,0,0.0,0.63,3,0.3206,Bajo
60ed87c8-c45b-41ec-944a-686d9a3f1938,Sofía Vega,0973679418,Microempresa,Alimentación y Gastronomía,Azuay,22,Masculino,21,84,5.14,8,66,11,2,1,0.0,11.73,6,0.7375,Alto
687ea971-a62c-41ca-976d-6ea111d1d41f,Lucía Mora,0970532500,Microempresa,Alimentación y Gastronomía,Azuay,27,Femenino,30,211,3.22,16,134,61,2,0,0.0025,17.57,5,0.3369,Bajo
0264ef51-3fd0-46ed-868a-626fceb7f198,Diego Castro,0926805866,Microempresa,Entretenimiento y Educación,Pichincha,25,Femenino,28,44,10.92,6,34,4,1,0,0.0,1.66,1,0.0664,Bajo
e7e4fce1-337b-49b0-890c-56943a5a38d4,Carlos López,0953159292,Microempresa,Comercio Minorista,Guayas,37,Femenino,24,71,17.0,7,48,17,0,0,0.0,3.61,1,0.0799,Bajo
7ab848b0-5d38-4f1f-ae60-7e48b997af44,Pedro Ruiz,0910856054,Microempresa,Comercio Minorista,Pichincha,33,Femenino,2,51,35.5,3,36,11,1,0,0.0136,84.8,23,0.6103,Medio
e3f3b530-2c7f-4803-a921-29de2fa3f744,Andrés Díaz,0942130418,Pequeña Empresa,Comercio Minorista,Guayas,25,Femenino,33,67,30.11,12,46,9,0,0,0.0,3.4,1,0.0677,Bajo
a847a5aa-3764-4b26-baeb-a387ce9d4fca,Carlos López,0919681481,Microempresa,Moda y Estilo de Vida,Pichincha,38,Femenino,31,15,32.47,3,10,2,0,0,0.0,41.72,0,0.0178,Bajo
a2bdbb57-cca6-44be-aa6e-960fad0684e2,Diego Castro,0973225158,Microempresa,Comercio Minorista,Guayas,26,Femenino,9,90,3.54,11,56,23,0,0,0.0,1.01,1,0.0646,Bajo
245707c8-7a29-4295-8fcf-e0c297ab7a5d,Ana Torres,0946139725,Microempresa,Comercio Minorista,Morona Santiago,18,Femenino,7,10,22.26,1,8,1,2,0,0.0,7.66,7,0.7682,Alto
3c27b22c-c792-42fe-a8d4-0477fda9c65a,Lucía Mora,0989471902,Microempresa,Alimentación y Gastronomía,Loja,31,Femenino,30,163,1.71,28,125,10,1,0,0.0,6.51,4,0.1991,Bajo
0925cb60-dc98-4467-8b64-b2eb60ea1751,Andrés Díaz,0990135878,Microempresa,Entretenimiento y Educación,Guayas,27,Femenino,23,7,38.73,1,6,0,1,0,0.0,18.54,3,0.6021,Medio
0a3b7a04-51d4-44d1-a80d-17dd09a59aa5,María Pérez,0939672379,Microempresa,Moda y Estilo de Vida,Pichincha,20,Masculino,9,13,64.95,2,8,3,1,1,0.0,3.98,6,0.8359,Alto
e22bf2ed-128a-4360-bfc3-3719dd9650cb,Sofía Vega,0954710905,Microempresa,Alimentación y Gastronomía,Pichincha,29,Femenino,1,43,5.5,6,36,1,1,0,0.0,5.87,7,0.5742,Medio
bc510f9f-7dd4-409b-928b-adf6e8736eb2,Andrés Díaz,0964344129,Microempresa,Servicios Personales e Independientes,Pichincha,27,Masculino,18,2,10.13,0,2,0,1,0,0.0,31.54,0,0.2393,Bajo
8ebfa7a0-8fb5-4dc8-9b7a-ffde21ca03d3,Ana Torres,0901595932,Microempresa,Servicios Personales e Independientes,Morona Santiago,35,Masculino,14,32,12.08,5,27,0,1,0,0.0,36.7,1,0.0884,Bajo
01a00e5d-2973-494b-89a7-88e16bf8e463,Carmen Ríos,0936230900,Microempresa,Servicios Personales e Independientes,Pichincha,33,Masculino,10,19,15.81,3,18,0,1,0,0.0,5.39,0,0.079,Bajo
ba965188-5d06-44e0-b309-b877c1a737db,Sofía Vega,0950674538,Microempresa,Comercio Minorista,Pichincha,35,Femenino,1,57,46.01,10,40,7,1,0,0.0,0.8,5,0.6394,Medio
b6411745-f76e-464b-8f48-cb99bff71717,Carlos López,0936394315,Microempresa,Comercio Minorista,El Oro,28,Masculino,24,31,5.3,6,21,4,0,0,0.0,12.98,2,0.1481,Bajo
4c72793d-9ea3-41b5-bfcc-bf84c6329c4f,Lucía Mora,0900119906,Microempresa,Entretenimiento y Educación,Guayas,20,Femenino,20,15,19.77,2,14,0,1,0,0.0,2.84,5,0.6179,Medio
70154104-444c-4a2d-8bee-9ce00649749a,Juan Gómez,0923891935,Microempresa,Alimentación y Gastronomía,Guayas,26,Masculino,28,97,1.5,9,80,8,1,0,0.0,7.18,1,0.0755,Bajo
8392348b-7363-4964-818d-218aa0c1d4cd,Ana Torres,0979624637,Pequeña Empresa,Servicios Personales e Independientes,Pichincha,31,Femenino,10,44,12.4,7,33,4,1,0,0.0,9.21,4,0.4065,Medio
dff131ea-bdbc-4089-a4d1-535702f85e44,Juan Gómez,0946745799,Microempresa,Moda y Estilo de Vida,Cotopaxi,29,Femenino,8,8,10.89,1,6,2,0,0,0.0,40.79,9,0.8762,Alto
fdaeb363-99d3-4620-b74c-255906993e3a,Sofía Vega,0983782539,Microempresa,Comercio Minorista,Pichincha,24,Masculino,28,83,24.74,10,55,18,0,0,0.0,6.16,1,0.0318,Bajo
a6a9c785-6319-4f9b-b7b2-7bca56aef9b2,Carmen Ríos,0986478444,Microempresa,Alimentación y Gastronomía,Guayas,31,Femenino,25,242,4.18,14,148,80,0,0,0.0,11.78,1,0.0637,Bajo
924e8ab8-93c7-4399-9c85-0cd51fda3275,Juan Gómez,0953424140,Microempresa,Comercio Minorista,Loja,27,Masculino,31,60,5.38,6,46,8,0,0,0.0,26.6,4,0.3513,Medio
4d401402-3cd7-4d63-8f11-d701ba44d105,Andrés Díaz,0946937162,Microempresa,Alimentación y Gastronomía,Pichincha,26,Masculino,2,54,2.36,6,40,7,2,0,0.0,3.07,4,0.4881,Medio
404f052e-fbec-4205-b2e1-baf3a8e219e6,Juan Gómez,0961797300,Microempresa,Entretenimiento y Educación,Pichincha,19,Masculino,7,23,27.8,3,21,0,0,0,0.0,14.37,4,0.3365,Bajo
