id_comercio,nombre_dueno,celular,tamano_negocio,tipo_negocio,provincia,edad_propietario,genero,antiguedad_meses,transacciones_promedio,ticket_promedio_usd,movimientos_pichincha_mes,movimientos_comerciales_mes,movimientos_personales_mes,tickets_soporte,ticket_no_resuelto,tasa_disputas,saldo_cuenta_usd,dias_sin_transar,prob_churn,nivel_riesgo
03db2a46-0ff8-479c-9cc1-448c018a9c81,Diego Castro,0935941061,Microempresa,Comercio Minorista,El Oro,19,Masculino,32,31,9.43,6,21,5,0,0,0.0,85.04,3,0.1123,Bajo
db7c1f46-df52-42cd-b7ef-f73157bcec7c,Diego Castro,0961576868,Microempresa,Alimentación y Gastronomía,Pichincha,32,Masculino,17,148,2.1,14,115,19,0,0,0.0,27.19,1,0.1086,Bajo
4d5d916d-a7af-43a7-8608-6ee8b782ddd2,Ana Torres,0945514831,Microempresa,Alimentación y Gastronomía,Tungurahua,24,Femenino,1,136,4.0,10,86,40,0,0,0.0,2.24,6,0.2039,Bajo
1d7a713d-db0d-4556-bb08-eefb1789874b,Carmen Ríos,0903459144,Microempresa,Alimentación y Gastronomía,Guayas,29,Femenino,6,113,4.41,19,95,0,1,0,0.0,6.61,3,0.2225,Bajo
d2bca8e2-452e-4f8f-8504-af466b459b55,Juan Gómez,0999337780,Microempresa,Comercio Minorista,Manabí,35,Masculino,15,53,4.94,4,33,16,0,0,0.0,9.02,1,0.071,Bajo
6389ae05-4433-404e-b9e4-132828d05d06,Ana Torres,0994161047,Microempresa,Alimentación y Gastronomía,Tungurahua,20,Masculino,26,104,2.3,15,73,15,1,0,0.0,2.46,8,0.5433,Medio
c9d2c2c3-5ff7-411a-b90b-e0541076bd2c,Ana Torres,0976583981,Mediana Empresa A,Alimentación y Gastronomía,Morona Santiago,26,Femenino,35,35,3.45,3,28,5,0,0,0.0,22.38,0,0.1332,Bajo
92bb3a60-9004-468a-be63-c4d52cebfd98,Juan Gómez,0946319477,Microempresa,Moda y Estilo de Vida,Esmeraldas,18,Femenino,15,11,44.33,2,9,0,1,0,0.0175,4.42,4,0.5725,Medio
6b31a318-489c-491c-ab7b-1c0279af24a5,María Pérez,0959100912,Microempresa,Moda y Estilo de Vida,Guayas,34,Masculino,21,28,29.66,4,21,3,0,0,0.0,12.61,3,0.3191,Bajo
3e81f736-0170-40ef-95eb-23d7b25129f1,Pedro Ruiz,0963699001,Microempresa,Alimentación y Gastronomía,Pichincha,21,Femenino,33,42,5.93,2,28,12,0,0,0.0,3.49,1,0.039,Bajo
